  2.9000000e-001  7.8000000e+001  1.3000000e+001
  5.2000000e-001  9.3000000e+001  4.0000000e+000
  7.5000000e-001  1.2800000e+002  1.2000000e+001
  9.8000000e-001  1.6600000e+002  3.4000000e+001
  1.2100000e+000  1.8200000e+002  9.6000000e+001
  1.4400000e+000  1.3100000e+002  2.1700000e+002
  1.6700000e+000  5.3000000e+001  2.7100000e+002
  1.9000000e+000  1.9000000e+001  2.2800000e+002
  2.1300000e+000  7.0000000e+000  1.6300000e+002
  2.3600000e+000  1.0000000e+001  1.1700000e+002
  2.5900000e+000  7.0000000e+000  7.8000000e+001
  2.8200000e+000  7.0000000e+000  5.1000000e+001
  3.0500000e+000  1.0000000e+001  3.6000000e+001
  3.2800000e+000  1.3000000e+001  2.6000000e+001
  3.5100000e+000  2.0000000e+001  2.2000000e+001
  3.7400000e+000  2.1000000e+001  1.3000000e+001
  3.9700000e+000  2.8000000e+001  9.0000000e+000
  4.2000000e+000  3.6000000e+001  5.0000000e+000
  4.4300000e+000  5.0000000e+001  4.0000000e+000
  4.6600000e+000  7.1000000e+001  7.0000000e+000
  4.8900000e+000  9.7000000e+001  9.0000000e+000
  5.1200000e+000  1.3600000e+002  2.1000000e+001
  5.3500000e+000  1.6400000e+002  3.1000000e+001
  5.5800000e+000  1.8100000e+002  9.0000000e+001
  5.8100000e+000  1.3200000e+002  2.0800000e+002
  6.0400000e+000  6.0000000e+001  2.7800000e+002
  6.2700000e+000  2.3000000e+001  2.3500000e+002
  6.5000000e+000  1.1000000e+001  1.7100000e+002
  6.7300000e+000  8.0000000e+000  1.1800000e+002
  6.9600000e+000  4.0000000e+000  7.7000000e+001
  7.1900000e+000  4.0000000e+000  5.0000000e+001
  7.4200000e+000  1.0000000e+001  3.7000000e+001
  7.6500000e+000  1.1000000e+001  2.4000000e+001
  7.8800000e+000  1.4000000e+001  1.7000000e+001
  8.1100000e+000  1.6000000e+001  9.0000000e+000
  8.3400000e+000  3.2000000e+001  1.4000000e+001
  8.5700000e+000  4.2000000e+001  1.3000000e+001
  8.8000000e+000  4.5000000e+001  1.0000000e+000
  9.0300000e+000  6.5000000e+001  2.0000000e+000
  9.2600000e+000  9.5000000e+001  9.0000000e+000
  9.4900000e+000  1.2500000e+002  1.2000000e+001
